project_name	publication_year	publication_doi	oil_reservoir	oil_wells	latitude	longitude	geo_loc_name	study_primary_focus	study_process	depth	temp	pH	salinity	API	NO3-	PO43-	SO42-	Ca2+	Mg2+	Na+	K+	Cl-	HCO3-	acetate	sample_name	feature	material	collection_date	archive	archive_project	archive_accession
SousaPires2021	2021	10.1016/j.ibiod.2021.105215	Campos Basin	unknown	-21.65431707	-39.57000732	Brazil	ecology	 taxonomic and functional diversity	2631	68	7.7	41.4	20.5	unknown	unknown	2251	526	1180	13220	411	24678	None	None	DNAPA_16SV3V4	oil reservoir	formation water	2013	SRA	PRJNA679304	SRS7817579
SousaPires2021	2021	10.1016/j.ibiod.2021.105215	Campos Basin	unknown	-21.65431707	-39.57000732	Brazil	ecology	 taxonomic and functional diversity	2631	68	7.7	41.4	20.5	unknown	unknown	2251	526	1180	13220	411	24678	None	None	DNAPA_16SV4A	oil reservoir	formation water	2013	SRA	PRJNA679304	SRS7817580
SousaPires2021	2021	10.1016/j.ibiod.2021.105215	Campos Basin	unknown	-21.65431707	-39.57000732	Brazil	ecology	 taxonomic and functional diversity	2631	68	7.7	41.4	20.5	unknown	unknown	2251	526	1180	13220	411	24678	None	None	DNAPA_16SV4B	oil reservoir	formation water	2013	SRA	PRJNA679304	SRS7817581
SousaPires2021	2021	10.1016/j.ibiod.2021.105215	Campos Basin	unknown	-21.65431707	-39.57000732	Brazil	ecology	 taxonomic and functional diversity	2631	68	7.7	41.4	20.5	unknown	unknown	2251	526	1180	13220	411	24678	None	None	DNAPA_16SV4V5	oil reservoir	formation water	2013	SRA	PRJNA679304	SRS7817582
Zhou2020	2020	10.1016/j.ibiod.2020.104970	Bohai S-Oilfield	None	37	117	China	ecology	taxonomic and functional diversity	None	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	None	None	None	None	A14_B	oil reservoir	formation water	2019	SRA	PRJNA590100	SRS5679281
Zhou2020	2020	10.1016/j.ibiod.2020.104970	Bohai S-Oilfield	None	37	117	China	ecology	taxonomic and functional diversity	None	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	None	None	None	None	C14_B	oil reservoir	formation water	2019	SRA	PRJNA590100	SRS5679282
Zhou2020	2020	10.1016/j.ibiod.2020.104970	Bohai S-Oilfield	None	37	117	China	ecology	taxonomic and functional diversity	None	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	None	None	None	None	A20_B	oil reservoir	formation water	2019	SRA	PRJNA590100	SRS5679283
Zhou2020	2020	10.1016/j.ibiod.2020.104970	Bohai S-Oilfield	None	37	117	China	ecology	taxonomic and functional diversity	None	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	None	None	None	None	C20_B	oil reservoir	formation water	2019	SRA	PRJNA590100	SRS5679284
Zhou2020	2020	10.1016/j.ibiod.2020.104970	Bohai S-Oilfield	None	37	117	China	ecology	taxonomic and functional diversity	None	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	None	None	None	None	A14_A	oil reservoir	formation water	2019	SRA	PRJNA590100	SRS5685625
Zhou2020	2020	10.1016/j.ibiod.2020.104970	Bohai S-Oilfield	None	37	117	China	ecology	taxonomic and functional diversity	None	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	None	None	None	None	C14_A	oil reservoir	formation water	2019	SRA	PRJNA590100	SRS5685626
Zhou2020	2020	10.1016/j.ibiod.2020.104970	Bohai S-Oilfield	None	37	117	China	ecology	taxonomic and functional diversity	None	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	None	None	None	None	A20_A	oil reservoir	formation water	2019	SRA	PRJNA590100	SRS5685627
Zhou2020	2020	10.1016/j.ibiod.2020.104970	Bohai S-Oilfield	None	37	117	China	ecology	taxonomic and functional diversity	None	unknown	unknown	unknown	unknown	unknown	unknown	None	None	None	None	None	None	None	None	C20_A	oil reservoir	formation water	2019	SRA	PRJNA590100	SRS5685628